0.0199,-1.1762,-0.3894
0.0455,-1.3106,0.2819
0.0740,-1.3425,0.2822
0.0552,-1.3833,0.2837
0.0673,-1.4028,0.2840
0.0169,-1.4052,0.2541
0.0203,-1.3944,0.2638
0.0154,-1.3999,0.2639
0.0402,-1.3563,0.2436
0.0414,-1.3626,0.2437
-0.0419,-1.2413,0.1541
-0.0414,-1.2480,0.1542
-0.0648,-1.0485,0.1327
-0.0655,-1.0559,0.1328
-0.0208,-0.8992,0.1329
-0.0228,-0.9063,0.1330
0.0314,-0.8213,0.0984
0.0281,-0.8271,0.0985
0.1640,-0.7141,0.1523
0.1589,-0.7182,0.1524
0.2244,-0.7548,0.1787
0.2194,-0.7567,0.1787
0.2229,-0.7778,0.2839
0.2193,-0.7773,0.2839
0.0631,-0.8237,0.3556
0.0624,-0.8210,0.3556
0.0252,-0.7796,0.3627
0.0250,-0.7753,0.3626
0.0282,-0.7753,0.1974
0.0279,-0.7694,0.1973
-0.0899,-0.7836,0.0476
-0.0894,-0.8996,0.0236
-0.0201,-0.8915,0.0234
0.1893,-0.9089,0.1741
0.1853,-0.9012,0.1739
0.2778,-1.1717,0.2492
0.2747,-1.1646,0.2491
0.0889,-1.1440,0.2275
0.0886,-1.1390,0.2274
-0.0266,-1.0034,0.2789
-0.0258,-1.0005,0.2788
-0.0184,-0.8706,0.2836
-0.0182,-0.8688,0.2836
-0.0161,-0.8457,0.1783
-0.0165,-0.8442,0.1783
0.0464,-0.8321,0.1579
0.0446,-0.8307,0.1579
-0.0219,-0.6499,0.0777
-0.0227,-0.6485,0.0777
-0.0112,-0.5430,0.0884
-0.0128,-0.5404,0.0884
0.1147,-0.6237,0.1027
0.1106,-0.6197,0.1027
0.2119,-0.5864,0.2450
0.2068,-0.5818,0.2450
0.2074,-0.5283,0.2892
0.2033,-0.5310,0.2497
0.1652,-0.5237,0.2496
0.1290,-0.5761,0.3058
0.1285,-0.5674,0.3058
0.0416,-0.5614,0.2196
0.0432,-0.5518,0.2196
0.0377,-0.5905,0.1813
0.0394,-0.5801,0.1813
0.0507,-0.6724,0.2041
0.0523,-0.6617,0.2041
-0.0085,-0.6394,0.2054
-0.0060,-0.6291,0.2054
